Explant_Type,Plant_Species,Medium_Composition,Temperature,Humidity,Light_Intensity,Culture_Duration,Regeneration_Success_Rate
Root,Spinach,MS + 1mg/L NAA,21,53,2067,51,90
Root,Pansy,B5 + 2mg/L BAP,26,56,3673,31,71
Root,Eggplant,MS + 1mg/L NAA,26,61,4870,40,74
Leaf,Dandelion,B5 + 2mg/L BAP,22,62,2436,32,89
Leaf,Rose,B5 + 0.5mg/L IAA,20,69,3874,32,89
Root,Sunflower,MS + 1.5mg/L BAP,25,58,4868,31,91
Leaf,Pepper,MS + 1mg/L NAA,26,66,4631,59,89
Leaf,Pepper,MS + 1mg/L NAA,25,50,2091,56,82
Leaf,Parsley,MS + 0.5mg/L IAA,22,59,3774,48,82
Leaf,Rose,MS + 0.5mg/L IAA,25,60,4393,59,76
Leaf,Rose,B5 + 1mg/L NAA,24,51,2210,30,77
Stem,Rose,MS + 0.5mg/L IAA,24,64,2348,31,70
Leaf,Pepper,B5 + 1mg/L NAA,26,56,3068,51,89
Stem,Tomato,B5 + 1mg/L NAA,20,61,4544,45,75
Leaf,Beetroot,B5 + 0.5mg/L IAA,26,74,3803,31,77
Stem,Cauliflower,B5 + 1mg/L NAA,25,74,2336,56,81
Stem,Aloe,B5 + 1mg/L NAA,23,62,2330,33,82
Root,Chamomile,MS + 2mg/L BAP,25,74,2107,45,81
Root,Chamomile,B5 + 1mg/L NAA,20,72,2880,47,78
Leaf,Aloe,MS + 1.5mg/L BAP,26,65,4144,53,70
Stem,Dandelion,B5 + 2mg/L BAP,26,59,3067,41,77
Leaf,Sunflower,MS + 2mg/L BAP,25,66,4932,30,70
Root,Carrot,MS + 2mg/L BAP,22,50,3835,53,84
Stem,Cucumber,MS + 0.5mg/L IAA,21,68,2420,35,89
Stem,Parsley,B5 + 2mg/L BAP,21,60,3379,30,90
Root,Cucumber,B5 + 0.5mg/L IAA,25,65,3606,41,88
Leaf,Dandelion,MS + 1mg/L NAA,23,70,3967,31,73
Root,Lavender,MS + 1.5mg/L BAP,20,70,3468,34,95
Leaf,Cucumber,B5 + 2mg/L BAP,25,57,3715,41,81
Leaf,Dandelion,MS + 0.5mg/L IAA,25,68,3770,51,78
Stem,Daisy,MS + 1mg/L NAA,20,58,4981,39,95
Root,Carrot,MS + 2mg/L BAP,20,71,3334,48,95
Leaf,Rose,MS + 1mg/L NAA,24,50,2000,45,71
Stem,Lavender,MS + 1.5mg/L BAP,21,60,4673,35,95
Root,Carrot,MS + 2mg/L BAP,26,68,3387,51,75
Root,Ginger,B5 + 1mg/L NAA,24,70,2313,54,91
Stem,Beetroot,MS + 1.5mg/L BAP,20,74,4223,59,84
Leaf,Eggplant,B5 + 2mg/L BAP,20,67,4981,50,76
Stem,Chamomile,B5 + 1mg/L NAA,21,51,4069,37,75
Root,Daisy,B5 + 2mg/L BAP,26,54,3730,52,70
Stem,Basil,MS + 1mg/L NAA,24,71,2081,51,73
Stem,Marigold,MS + 2mg/L BAP,21,63,4810,49,74
Root,Chamomile,MS + 2mg/L BAP,26,50,2392,35,90
Stem,Broccoli,MS + 1.5mg/L BAP,24,55,3574,31,89
Root,Eggplant,MS + 2mg/L BAP,23,72,4012,32,81
Leaf,Marigold,B5 + 2mg/L BAP,22,69,4712,30,76
Root,Onion,MS + 1mg/L NAA,21,58,3198,51,72
Stem,Basil,MS + 0.5mg/L IAA,25,58,3068,35,87
Stem,Potato,MS + 0.5mg/L IAA,26,54,4305,49,80
Root,Daisy,MS + 0.5mg/L IAA,22,70,4962,58,70
Root,Basil,MS + 2mg/L BAP,22,75,4797,58,70
Root,Potato,MS + 0.5mg/L IAA,20,51,2740,45,79
Leaf,Dandelion,B5 + 2mg/L BAP,21,75,2837,41,74
Leaf,Spinach,MS + 0.5mg/L IAA,25,57,3163,58,76
Stem,Daisy,MS + 0.5mg/L IAA,23,52,4843,49,72
Stem,Cauliflower,B5 + 0.5mg/L IAA,20,61,2849,55,91
Root,Tobacco,MS + 2mg/L BAP,24,66,3507,49,87
Root,Pepper,B5 + 2mg/L BAP,20,69,4501,45,74
Stem,Parsley,B5 + 1mg/L NAA,25,74,4620,38,92
Stem,Oregano,B5 + 2mg/L BAP,24,54,3781,50,71
Leaf,Pansy,MS + 2mg/L BAP,22,60,4357,44,94
Leaf,Broccoli,MS + 1mg/L NAA,26,66,4118,51,92
Leaf,Cauliflower,B5 + 0.5mg/L IAA,24,58,3342,52,82
Root,Mint,MS + 0.5mg/L IAA,26,69,2076,50,86
Leaf,Garlic,MS + 0.5mg/L IAA,20,50,3139,51,74
Stem,Marigold,B5 + 2mg/L BAP,26,64,3327,57,95
Root,Dandelion,B5 + 1mg/L NAA,24,56,2068,59,71
Root,Eggplant,B5 + 1mg/L NAA,25,59,4644,40,79
Leaf,Oregano,B5 + 1mg/L NAA,20,54,3372,50,86
Leaf,Pansy,B5 + 1mg/L NAA,20,51,3675,37,73
Stem,Cucumber,B5 + 1mg/L NAA,22,57,3673,57,95
Root,Rose,B5 + 2mg/L BAP,22,53,4897,49,92
Leaf,Garlic,B5 + 1mg/L NAA,20,68,4361,43,71
Leaf,Sunflower,MS + 1.5mg/L BAP,21,73,2939,40,88
Leaf,Lavender,MS + 1mg/L NAA,22,64,3984,49,77
Root,Chrysanthemum,MS + 2mg/L BAP,21,71,3405,57,71
Stem,Basil,MS + 2mg/L BAP,25,64,3273,53,81
Root,Chamomile,MS + 1.5mg/L BAP,23,65,2186,44,79
Stem,Dandelion,MS + 2mg/L BAP,21,59,2555,53,86
Leaf,Daisy,MS + 0.5mg/L IAA,23,67,4916,39,79
Leaf,Chamomile,B5 + 2mg/L BAP,20,63,3082,38,92
Stem,Beetroot,B5 + 1mg/L NAA,22,64,2728,56,84
Leaf,Eggplant,B5 + 1mg/L NAA,25,61,4297,54,76
Stem,Garlic,MS + 0.5mg/L IAA,26,69,3780,35,86
Stem,Lavender,B5 + 1mg/L NAA,26,61,2295,41,81
Root,Lettuce,B5 + 0.5mg/L IAA,24,53,3931,34,84
Stem,Rose,MS + 0.5mg/L IAA,23,71,4879,42,94
Stem,Daisy,B5 + 1mg/L NAA,21,59,4199,51,85
Leaf,Carrot,MS + 2mg/L BAP,23,52,4407,51,89
Leaf,Basil,B5 + 2mg/L BAP,26,66,2687,51,84
Stem,Garlic,B5 + 2mg/L BAP,23,63,3356,49,76
Root,Tobacco,B5 + 2mg/L BAP,21,73,3825,54,88
Stem,Basil,MS + 2mg/L BAP,23,58,2509,53,95
Stem,Carrot,B5 + 1mg/L NAA,20,71,3231,38,86
Leaf,Aloe,MS + 1.5mg/L BAP,21,66,2136,51,93
Stem,Carrot,B5 + 0.5mg/L IAA,25,73,2532,50,74
Stem,Thyme,B5 + 0.5mg/L IAA,22,55,3353,35,78
Stem,Chrysanthemum,B5 + 1mg/L NAA,24,56,2228,31,92
Leaf,Daisy,MS + 1mg/L NAA,25,50,4795,39,80
Leaf,Cucumber,MS + 1mg/L NAA,24,66,2985,32,90
Leaf,Daisy,B5 + 2mg/L BAP,23,66,4207,42,91
Stem,Chamomile,MS + 2mg/L BAP,24,74,3325,39,80
Leaf,Potato,MS + 1.5mg/L BAP,21,73,4890,33,77
Root,Broccoli,B5 + 0.5mg/L IAA,21,54,4009,41,86
Stem,Onion,B5 + 1mg/L NAA,22,69,3752,54,73
Root,Cauliflower,B5 + 1mg/L NAA,21,60,2706,53,81
Leaf,Onion,MS + 0.5mg/L IAA,26,75,3541,36,72
Root,Mint,MS + 1mg/L NAA,24,70,3232,44,87
Stem,Chamomile,B5 + 1mg/L NAA,20,66,4106,39,75
Leaf,Sunflower,MS + 1.5mg/L BAP,25,62,2292,31,85
Root,Pansy,B5 + 1mg/L NAA,20,72,4577,60,74
Stem,Spinach,B5 + 0.5mg/L IAA,25,66,3684,55,91
Leaf,Lettuce,MS + 1.5mg/L BAP,22,75,3021,55,76
Root,Marigold,MS + 2mg/L BAP,24,58,4118,51,94
Stem,Aloe,B5 + 1mg/L NAA,22,53,4649,57,86
Stem,Garlic,MS + 1mg/L NAA,26,68,3177,41,74
Root,Spinach,MS + 2mg/L BAP,26,63,4346,32,83
Leaf,Pansy,B5 + 2mg/L BAP,26,55,3001,58,78
Leaf,Lettuce,MS + 2mg/L BAP,23,57,3667,58,74
Stem,Dandelion,B5 + 0.5mg/L IAA,20,70,4290,36,88
Root,Rose,B5 + 1mg/L NAA,22,74,2212,37,81
Root,Lavender,MS + 2mg/L BAP,25,57,4749,44,73
Stem,Rose,MS + 1.5mg/L BAP,22,55,3578,59,86
Stem,Cauliflower,MS + 1.5mg/L BAP,23,63,2802,54,80
Root,Daisy,B5 + 0.5mg/L IAA,25,50,3323,49,75
Root,Dandelion,MS + 1.5mg/L BAP,21,73,4097,54,81
Leaf,Marigold,MS + 0.5mg/L IAA,20,70,3436,37,81
Leaf,Thyme,MS + 2mg/L BAP,25,61,2904,57,90
Root,Ginger,B5 + 2mg/L BAP,22,73,2077,44,84
Stem,Thyme,B5 + 2mg/L BAP,26,67,4949,55,91
Root,Aloe,MS + 1mg/L NAA,23,62,2346,43,83
Root,Pansy,B5 + 2mg/L BAP,26,72,2089,55,94
Stem,Parsley,MS + 1mg/L NAA,23,69,2325,54,86
Root,Garlic,MS + 1.5mg/L BAP,21,74,2578,42,95
Stem,Garlic,B5 + 1mg/L NAA,24,58,3799,53,86
Stem,Parsley,MS + 2mg/L BAP,23,55,4249,48,91
Root,Sunflower,B5 + 0.5mg/L IAA,24,64,4367,54,93
Root,Ginger,B5 + 1mg/L NAA,21,63,3545,55,72
Root,Cucumber,MS + 1.5mg/L BAP,22,65,4462,51,80
Root,Rose,MS + 2mg/L BAP,22,59,3365,49,80
